@relation 'estado_cultivo-weka.filters.unsupervised.attribute.Remove-R1-3,16-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R5-6'

@attribute CULTIVO {SAbila,'Aguacate demAs variedades','Banano consumo interno',Granadilla,Guayaba,'Gulupa o cholupa',Lulo,'Pina demAs variedades','PlAtano consumo interno','Otros cItricos','MaIz Tradicional','MaIz Tecnificado','Cebolla De Rama',Cilantro,Lechuga,PimentOn,Repollo,Tomate,Zanahoria,'Papa todas las variedades',Iraca,Fresa,Mora,'Tomate de Arbol',GuanAbana,Esparrago,'Tomate Invernadero',MaracuyA,'Papaya  demAs variedades','Otras hortalizas',Habichuela,'LimOn  Pajarito','Mango demAs variedades','Naranja demAs variedades',Ahuyama,Patilla,'Yuca consumo en fresco','Otros frutales','Cebolla De Bulbo','Pepino Cohombro',Remolacha,Mangostino,Chontaduro,Brevo,Feijoa,'Plantas AromAticas','Aguacate Hass','Aguacate Papelillo','LimOn  TahitI','Mandarina Arrayana y/o Oneco','Naranja Valencia','Papaya  Hawaiana, Maradol, Melona, Redonda y/o Tainung',Albahaca,'Sacha inchi',Macadamia,Zapote,'Papa Criolla',Arracacha,Cacao,CafE,'Cana Panelera',Frijol,Fique,Arveja,'Cana de AzUcar','MaIz Amarillo Tradicional','MaIz Blanco Tradicional','MaIz Amarillo Tecnificado','MaIz Blanco Tecnificado','Palma de aceite'}
@attribute 'CICLO DE CULTIVO' {Permanente,Transitorio}
@attribute 'GRUPO CULTIVO' {'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',Frutales,Cereales,Hortalizas,'RaIces y TubErculos','Cultivos Tropicales Tradicionales',Leguminosas,Oleaginosas}
@attribute SUBGRUPO {Medicinales,'Demas frutales',PasiflorAceas,MirtAceas,SolanAceas,CItricos,Cereales,'Hortalizas de Tallo','Hortalizas de Hoja','Hortalizas de Futo','Hortalizas de raIz','RaIces y TubErculos','Cultivos Tropicales Tradicionales',AnonAceas,Hortalizas,Leguminosas,ArAceas,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',AromAticas,Oleaginosas}
@attribute 'Area Sembrada(ha)' numeric
@attribute 'AREA COSECHADA(ha)' numeric
@attribute PRODUCCION(t) numeric
@attribute RENDIMIENTO(t/ha) numeric
@attribute 'NOMBRE CIENTIFICO CULTIVO' {'Aloe vera','Persea americana','Musa cavendishii','Passiflora ligularis.','Psidium guajava L.','Passiflora edulis Sims fo. Edulis','Solanum quitoense Lam','Ananas comosus L. Merr.','Musa paradisiaca L.','No aplica','Zea mays','Allium fistulosum','Coriandrum sativum','Lactuca sativa','Capsicum annuum L','Brassica oleracea var. capitata','Lycopersicon esculentum','Daucus carota','Solanum tuberosum','Carludovica palmata','Fragaria vesca','Morus ssp','Solanum betaceum','Annona muricata L.','Asparagus officinalis','Passiflora edulis','Carica papaya','Phaseolus vulgaris','Citrus limon L.','Mangifera indica L','Citrus sinensis L. OSBECK','Cucurbita maxima','Citrullus lanatus','Manihot esculenta','Allium cepa','Cucumis sativus','Beta vulgaris','Garcinia mangostana L.','Bactris gasipaes Kunth','Ficus carica L.','Feijoa sellowiana berg.','Persea americana hass','Persea americana mill','Citrus reticulata','Ocimun basilicum L.','Plukenetia volubilis','Macadamia integrifolia','Pouteria sapota','Arracacia xanthorrhiza','Theobrama cacao L.','Coffea arabica L.','Saccharum officinarum L.','Phaseolus sp.','Furcraea gigantea','Pisum sativum','Elaeis guineensis Jacq.'}
@attribute 'ESTADO FISICO DEL CULTIVO' {'En fresco','Grano seco','Pergamino o seco de trilla','Cana o verde',Otros}

@data
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',0,0,0,0,'Lycopersicon esculentum','En fresco'
'Otras hortalizas',Transitorio,Hortalizas,Hortalizas,0,0,0,0,'No aplica','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,1,1,4,4,'Phaseolus vulgaris','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',19.3,19.3,173.7,9,'Persea americana hass','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',596.5,596.5,6173.78,10.35,'Musa paradisiaca L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,50,48,46.98,0.98,'Zea mays','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,35,33,32.3,0.98,'Zea mays','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',7,7,70,10,'Persea americana','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,4,3,24,8,'Annona muricata L.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,4,4,40,10,'Psidium guajava L.','En fresco'
'LimOn  Pajarito',Permanente,Frutales,CItricos,28,22,220,10,'Citrus limon L.','En fresco'
'LimOn  TahitI',Permanente,Frutales,CItricos,2,0,0,0,'Citrus limon L.','En fresco'
'Mango demAs variedades',Permanente,Frutales,'Demas frutales',6,5,40,8,'Mangifera indica L','En fresco'
'Naranja demAs variedades',Permanente,Frutales,CItricos,6,6,36,6,'Citrus sinensis L. OSBECK','En fresco'
'Papaya  Hawaiana, Maradol, Melona, Redonda y/o Tainung',Permanente,Frutales,'Demas frutales',15,5,150,30,'Carica papaya','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',76,70,700,10,'Musa paradisiaca L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,6,6,8.39,1.4,'Zea mays','En fresco'
Ahuyama,Transitorio,Hortalizas,'Hortalizas de Futo',7,7,105,15,'Cucurbita maxima','En fresco'
Patilla,Transitorio,Hortalizas,'Hortalizas de Futo',6,6,48,8,'Citrullus lanatus','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',9,9,90,10,'Manihot esculenta','En fresco'
Albahaca,Permanente,'Cultivos para Condimentos y Bebidas Medicinales y AromAticas',AromAticas,0,0,0,0,'Ocimun basilicum L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,7,7,9.79,1.4,'Zea mays','En fresco'
Ahuyama,Transitorio,Hortalizas,'Hortalizas de Futo',7,7,105,15,'Cucurbita maxima','En fresco'
Patilla,Transitorio,Hortalizas,'Hortalizas de Futo',8,8,64,8,'Citrullus lanatus','En fresco'
'Yuca consumo en fresco',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',9,8,80,10,'Manihot esculenta','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',22,0,0,0,'Persea americana hass','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',44,34,340,10,'Persea americana','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',205,205,1640,8,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,5,5,60,12,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,18,18,36,2,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,20,20,90,4.5,'Zea mays','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,15,15,37.5,2.5,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,12,12,60,5,'Zea mays','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',186.92,58.92,707.04,12,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',16.1,5.1,51,10,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',676.98,436.98,4369.8,10,'Persea americana','En fresco'
Mora,Permanente,Frutales,'Demas frutales',1,1,9,9,'Morus ssp','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',456,376,2256,6,'Musa paradisiaca L.','En fresco'
'Otros frutales',Permanente,Frutales,'Demas frutales',1,0.5,10,20,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,8.25,8.25,9.08,1.1,'Zea mays','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',0.3,0.3,0.3,1,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',0.4,0.4,3.28,8.2,'Coriandrum sativum','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',0.6,0.6,1.2,2,'Brassica oleracea var. capitata','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',2.7,2.7,251.1,93,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,0.4,0.4,0.8,2,'Phaseolus vulgaris','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,8.6,8.6,9.46,1.1,'Zea mays','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',0.31,0.31,0.31,1,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',0.42,0.42,3.45,8.21,'Coriandrum sativum','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',0.7,0.7,1.4,2,'Brassica oleracea var. capitata','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',3,3,280,93.33,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,0.42,0.42,0.84,2,'Phaseolus vulgaris','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',5,5,30,6,'Persea americana','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',30,30,450,15,'Musa cavendishii','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,1,1,20,20,'Annona muricata L.','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',186,186,1400,7.53,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,4,4,265,66.25,'No aplica','En fresco'
'Cebolla De Bulbo',Transitorio,Hortalizas,'Hortalizas de raIz',0.25,0.25,0.5,2,'Allium cepa','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',0.25,0.25,1,4,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',0.5,0.5,3,6,'Coriandrum sativum','En fresco'
Lechuga,Transitorio,Hortalizas,'Hortalizas de Hoja',0.25,0.25,0.25,1,'Lactuca sativa','En fresco'
'Pepino Cohombro',Transitorio,Hortalizas,'Hortalizas de Futo',0.25,0.25,0.75,3,'Cucumis sativus','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',0.25,0.25,0.5,2,'Capsicum annuum L','En fresco'
Remolacha,Transitorio,Hortalizas,'Hortalizas de raIz',0.25,0.25,0.5,2,'Beta vulgaris','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',0.5,0.5,1,2,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',1,1,2,2,'Lycopersicon esculentum','En fresco'
Zanahoria,Transitorio,Hortalizas,'Hortalizas de raIz',0.25,0.25,0.75,3,'Daucus carota','En fresco'
'Cebolla De Bulbo',Transitorio,Hortalizas,'Hortalizas de raIz',0.25,0.25,0.5,2,'Allium cepa','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',0.25,0.25,1,4,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',1,1,6,6,'Coriandrum sativum','En fresco'
Lechuga,Transitorio,Hortalizas,'Hortalizas de Hoja',0.25,0.25,0.25,1,'Lactuca sativa','En fresco'
'Pepino Cohombro',Transitorio,Hortalizas,'Hortalizas de Futo',0.25,0.25,0.75,3,'Cucumis sativus','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',0.25,0.25,0.5,2,'Capsicum annuum L','En fresco'
Remolacha,Transitorio,Hortalizas,'Hortalizas de raIz',0.25,0.25,0.5,2,'Beta vulgaris','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',0.25,0.25,0.5,2,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',1,1,2,2,'Lycopersicon esculentum','En fresco'
Zanahoria,Transitorio,Hortalizas,'Hortalizas de raIz',0.25,0.25,0.75,3,'Daucus carota','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',126.9,64.9,655.49,10.1,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',49,6.47,6.79,1.05,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',630.13,371.13,4750.46,12.8,'Persea americana','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',289,237,1155,4.87,'Musa paradisiaca L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,2.5,2.5,2.27,0.91,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',1.8,1.6,102.4,64,'Lycopersicon esculentum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',1.2,1.2,134.4,112,'Lycopersicon esculentum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,3.2,3.2,2.79,0.87,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',2.1,2.1,140.7,67,'Lycopersicon esculentum','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',1.5,1.5,162,108,'Lycopersicon esculentum','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',20.2,5.7,34.14,5.99,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',2,0.8,10,12.5,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',75.5,75.5,1131.96,14.99,'Persea americana','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',20,20,122,6.1,'Musa paradisiaca L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,8,8,3.72,0.46,'Zea mays','En fresco'
'Cebolla De Rama',Transitorio,Hortalizas,'Hortalizas de Tallo',6,6,26.4,4.4,'Allium fistulosum','En fresco'
Cilantro,Transitorio,Hortalizas,'Hortalizas de Hoja',2,2,2,1,'Coriandrum sativum','En fresco'
'Otras hortalizas',Transitorio,Hortalizas,Hortalizas,7,7,10,1.43,'No aplica','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',20,20,460,23,'Solanum tuberosum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,8,8,13.3,1.66,'Zea mays','En fresco'
'Otras hortalizas',Transitorio,Hortalizas,Hortalizas,7,7,10,1.43,'No aplica','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',1393.5,393.5,2180,5.54,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',112,112,190,1.7,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',9.5,9.5,100,10.53,'Persea americana','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',148,141,2115,15,'Musa cavendishii','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,58,58,1044,18,'Psidium guajava L.','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,6,6,150,25,'Passiflora edulis Sims fo. Edulis','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',796,796,12736,16,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,382,376,7520,20,'No aplica','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',2,2,58,29,'Capsicum annuum L','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',14,14,154,11,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,6,6,84,14,'Phaseolus vulgaris','En fresco'
PimentOn,Transitorio,Hortalizas,'Hortalizas de Futo',2,2,58,29,'Capsicum annuum L','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',14,14,168,12,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,5,5,75,15,'Phaseolus vulgaris','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',31.5,21.5,168,7.81,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',718.5,683.5,5064.38,7.41,'Persea americana','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,26,26,312,12,'Annona muricata L.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,5,5,30,6,'Psidium guajava L.','En fresco'
Mangostino,Permanente,Frutales,'Demas frutales',2,2,4,2,'Garcinia mangostana L.','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,4.9,4.9,58.8,12,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',93,73,511,7,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,17,17,195.5,11.5,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,2,2,3.4,1.7,'Zea mays','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,3,3,5.1,1.7,'Zea mays','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',2200,651.91,9126.74,14,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',187.7,0.7,7,10,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',1360.39,1360.39,12243.51,9,'Persea americana','En fresco'
Lulo,Permanente,Frutales,SolanAceas,70,70,980,14,'Solanum quitoense Lam','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',2220,2200,26640,12.11,'Musa paradisiaca L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,100,100,200,2,'Zea mays','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,100,100,200,2,'Zea mays','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',193.3,180.3,1622.7,9,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',18.7,17.7,159.3,9,'Persea americana','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,455.5,300.5,3305.5,11,'Psidium guajava L.','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,5.16,5.16,98.04,19,'Citrus reticulata','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,86.1,84.1,1377.6,16.38,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',426,361,5776,16,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,219.84,218.84,3660.66,16.73,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,9,9,12.58,1.4,'Zea mays','En fresco'
'Pepino Cohombro',Transitorio,Hortalizas,'Hortalizas de Futo',6,6,84,14,'Cucumis sativus','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',7,7,420,60,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,3,3,54,18,'Phaseolus vulgaris','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,10,5,6.99,1.4,'Zea mays','En fresco'
'Pepino Cohombro',Transitorio,Hortalizas,'Hortalizas de Futo',6.5,6.5,91,14,'Cucumis sativus','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',5,5,300,60,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,4,4,72,18,'Phaseolus vulgaris','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',7.3,5.3,26,4.91,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',3.7,2.7,13,4.81,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',252,248,1240,5,'Persea americana','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,4,0,0,0,'Annona muricata L.','En fresco'
Lulo,Permanente,Frutales,SolanAceas,2,2,5,2.5,'Solanum quitoense Lam','En fresco'
Mora,Permanente,Frutales,'Demas frutales',2,2,13,6.5,'Morus ssp','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',118,108,756,7,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,7,7,49,7,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,3,3,2.94,0.98,'Zea mays','En fresco'
Repollo,Transitorio,Hortalizas,'Hortalizas de Hoja',1,1,10,10,'Brassica oleracea var. capitata','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',2,2,15,7.5,'Lycopersicon esculentum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,2,2,1.85,0.92,'Zea mays','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',1,1,30,30,'Lycopersicon esculentum','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',301.1,61.1,611,10,'Persea americana hass','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',132.9,132.9,1329,10,'Persea americana','En fresco'
'Banano consumo interno',Permanente,Frutales,'Demas frutales',64,62,620,10,'Musa cavendishii','En fresco'
Chontaduro,Permanente,Frutales,ArAceas,65,65,1235,19,'Bactris gasipaes Kunth','En fresco'
'Gulupa o cholupa',Permanente,Frutales,PasiflorAceas,5,0,0,0,'Passiflora edulis Sims fo. Edulis','En fresco'
Mora,Permanente,Frutales,'Demas frutales',20,20,200,10,'Morus ssp','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',544,544,9248,17,'Musa paradisiaca L.','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',1,1,48,48,'Lycopersicon esculentum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,0,0,0,0,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',1,1,48,48,'Lycopersicon esculentum','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',365,365,5110,14,'Persea americana mill','En fresco'
GuanAbana,Permanente,Frutales,AnonAceas,80,80,480,6,'Annona muricata L.','En fresco'
Guayaba,Permanente,Frutales,MirtAceas,40,40,480,12,'Psidium guajava L.','En fresco'
Lulo,Permanente,Frutales,SolanAceas,96,66,594,9,'Solanum quitoense Lam','En fresco'
'Mandarina Arrayana y/o Oneco',Permanente,Frutales,CItricos,30.9,30.9,618,20,'Citrus reticulata','En fresco'
MaracuyA,Permanente,Frutales,PasiflorAceas,8,5,17.5,3.5,'Passiflora edulis','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,218.59,218.59,4371.8,20,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',1765,1705,23870,14,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,215.61,195.61,3912.2,20,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,26,20,16.78,0.84,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,19,19,133,7,'Zea mays','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',0,0,0,0,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,1,1,7,7,'Phaseolus vulgaris','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,9,9,7.55,0.84,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,10,10,70,7,'Zea mays','En fresco'
'Tomate Invernadero',Transitorio,Hortalizas,'Hortalizas de Futo',0,0,0,0,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,1,1,7,7,'Phaseolus vulgaris','En fresco'
'Aguacate Hass',Permanente,Frutales,'Demas frutales',2045.6,45.6,319.2,7,'Persea americana hass','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',5.4,5.4,54,10,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',160,160,1600,10,'Persea americana','En fresco'
Fresa,Permanente,Frutales,'Demas frutales',2,2,8.67,4.34,'Fragaria vesca','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',2029,2029,13188.5,6.5,'Musa paradisiaca L.','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,3,3,2.52,0.84,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',2,2,5,2.5,'Lycopersicon esculentum','En fresco'
'Papa todas las variedades',Transitorio,'RaIces y TubErculos','RaIces y TubErculos',50,41,620,15.12,'Solanum tuberosum','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,4,4,3.36,0.84,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',2,2,50,25,'Lycopersicon esculentum','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',359.2,358,2506,7,'Persea americana','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',632.8,630,4410,7,'Musa paradisiaca L.','En fresco'
'Sacha inchi',Permanente,Oleaginosas,Oleaginosas,2.5,2.5,2,0.8,'Plukenetia volubilis','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,10,10,18,1.8,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',2,2,14,7,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,1,1,0.8,0.8,'Phaseolus vulgaris','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,10.5,10.5,18.9,1.8,'Zea mays','En fresco'
Tomate,Transitorio,Hortalizas,'Hortalizas de Futo',1,1,7,7,'Lycopersicon esculentum','En fresco'
Habichuela,Transitorio,Leguminosas,Leguminosas,0.5,0.5,0.25,0.5,'Phaseolus vulgaris','En fresco'
'Aguacate Papelillo',Permanente,Frutales,'Demas frutales',102,62,1612,26,'Persea americana mill','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',135,135,3375,25,'Persea americana','En fresco'
Lulo,Permanente,Frutales,SolanAceas,24,8,104,13,'Solanum quitoense Lam','En fresco'
'Naranja Valencia',Permanente,Frutales,CItricos,101,101,2020,20,'Citrus sinensis L. OSBECK','En fresco'
'PlAtano consumo interno',Permanente,Frutales,'Demas frutales',915.5,905.5,11771.5,13,'Musa paradisiaca L.','En fresco'
'Otros cItricos',Permanente,Frutales,CItricos,77,77,2310,30,'No aplica','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,12,12,13.42,1.12,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,1,1,6,6,'Zea mays','En fresco'
'MaIz Tradicional',Transitorio,Cereales,Cereales,9,9,10.07,1.12,'Zea mays','En fresco'
'MaIz Tecnificado',Transitorio,Cereales,Cereales,1,1,6,6,'Zea mays','En fresco'
'Aguacate demAs variedades',Permanente,Frutales,'Demas frutales',24,0,0,0,'Persea americana','En fresco'
Granadilla,Permanente,Frutales,PasiflorAceas,5,5,35,7,'Passiflora ligularis.','En fresco'
Lulo,Permanente,Frutales,SolanAceas,8,5,25,5,'Solanum quitoense Lam','En fresco'
